Id,UserId,Name,Date,Class,TagBased
"93449","61247","Autobiographer","2015-01-14 23:01:28","3","False"
"93450","44619","Editor","2015-01-14 23:01:28","3","False"
"93451","58035","Mortarboard","2015-01-14 23:01:12","3","False"
"93452","61203","Student","2015-01-14 23:01:28","3","False"
"93453","61247","Supporter","2015-01-14 23:01:28","3","False"
"93454","57739","Caucus","2015-01-14 23:06:36","3","False"
"93455","5591","Nice Answer","2015-01-14 23:35:46","3","False"
"93456","61249","Autobiographer","2015-01-14 23:35:46","3","False"
"93457","15140","Custodian","2015-01-14 23:35:46","3","False"
"93458","5113","Enlightened","2015-01-14 23:45:47","2","False"
"93459","61246","Scholar","2015-01-14 23:45:47","3","False"
"93460","61208","Popular Question","2015-01-14 23:55:53","3","False"
"93461","238","Popular Question","2015-01-15 00:00:54","3","False"
"93462","61250","Autobiographer","2015-01-15 00:10:50","3","False"
"93463","61250","Supporter","2015-01-15 00:10:50","3","False"
"93464","61246","Teacher","2015-01-15 00:30:54","3","False"
"93465","61246","Revival","2015-01-15 00:41:49","3","False"
"93466","61252","Student","2015-01-15 00:41:49","3","False"
"93467","11447","Autobiographer","2015-01-15 00:46:30","3","False"
"93468","8350","Supporter","2015-01-15 01:49:40","3","False"
"93469","4586","Caucus","2015-01-15 01:54:44","3","False"
"93470","61241","Editor","2015-01-15 01:54:44","3","False"
"93471","61191","Supporter","2015-01-15 02:34:50","3","False"
"93472","39764","Autobiographer","2015-01-15 03:02:12","3","False"
"93473","61253","Informed","2015-01-15 03:06:28","3","False"
"93474","61253","Autobiographer","2015-01-15 03:07:12","3","False"
"93475","61255","Supporter","2015-01-15 03:56:05","3","False"
"93476","5591","Deputy","2015-01-15 05:53:53","2","False"
"93477","61256","Autobiographer","2015-01-15 06:18:59","3","False"
"93478","44497","Caucus","2015-01-15 06:18:59","3","False"
"93479","61208","Citizen Patrol","2015-01-15 06:50:49","3","False"
"93480","53459","Supporter","2015-01-15 07:10:16","3","False"
"93481","52932","Informed","2015-01-15 07:11:41","3","False"
"93482","61257","Supporter","2015-01-15 07:22:04","3","False"
"93483","61258","Autobiographer","2015-01-15 07:56:30","3","False"
"93484","48747","Commentator","2015-01-15 07:56:30","3","False"
"93485","1740","Nice Answer","2015-01-15 08:16:22","3","False"
"93486","61260","Supporter","2015-01-15 08:46:12","3","False"
"93487","61262","Autobiographer","2015-01-15 08:56:07","3","False"
